Weight,City,State,Temperature,Season,Income_Level,Stress_Level,Sleep_Hours,Work_Life_Balance,Context,Recommended_Food
59,Bangalore,Karnataka,16,Summer,Medium,Low,8,Poor,Urban,Oats Idli
85,Chandigarh,Chandigarh,20,Summer,Low,High,5,Poor,Rural,Rajma Chawal
79,Kolkata,West Bengal,20,Winter,High,Low,5,Excellent,Rural,Paneer Butter Masala
88,Delhi,Delhi,16,Monsoon,Low,Medium,6,Average,Urban,Vegetable Pulao
69,Bangalore,Karnataka,23,Autumn,Low,Low,9,Poor,Urban,Roti with Dal Tadka
62,Srinagar,Jammu and Kashmir,18,Summer,Low,High,7,Good,Rural,Kadai Paneer
77,Ahmedabad,Gujarat,14,Autumn,High,Low,6,Average,Rural,Quinoa Upma
60,Chennai,Tamil Nadu,36,Autumn,Medium,Low,5,Good,Rural,Tandoori Chicken Salad
52,Varanasi,Uttar Pradesh,36,Monsoon,Low,Medium,7,Excellent,Urban,Paneer Butter Masala
74,Delhi,Delhi,29,Winter,High,Low,8,Good,Urban,Aloo Gobi
83,Indore,Madhya Pradesh,17,Monsoon,High,High,9,Excellent,Rural,Aloo Gobi
87,Nagpur,Maharashtra,35,Monsoon,High,High,5,Average,Rural,Chole Bhature
86,Srinagar,Jammu and Kashmir,22,Monsoon,Low,Medium,8,Average,Rural,Vegetable Pulao
68,Patna,Bihar,22,Summer,Medium,High,8,Poor,Rural,Aam Panna
86,Surat,Gujarat,19,Winter,Medium,High,4,Good,Rural,Aloo Gobi
73,Nagpur,Maharashtra,38,Winter,High,Low,7,Poor,Rural,Sprout Salad
83,Ahmedabad,Gujarat,39,Winter,Low,Medium,9,Excellent,Rural,Gajar ka Halwa
66,Mumbai,Maharashtra,15,Winter,Low,Medium,4,Good,Rural,Vegetable Pulao
87,Bhopal,Madhya Pradesh,27,Summer,Low,Medium,9,Good,Rural,Roti with Dal Tadka
71,Varanasi,Uttar Pradesh,29,Monsoon,Low,Low,9,Good,Rural,Oats Idli
83,Agra,Uttar Pradesh,42,Summer,Low,High,4,Poor,Rural,Kadai Paneer
76,Visakhapatnam,Andhra Pradesh,12,Winter,Medium,High,7,Good,Urban,Chole Bhature
67,Bangalore,Karnataka,22,Monsoon,Medium,High,8,Average,Rural,Corn on the Cob (Bhutta)
100,Ludhiana,Punjab,33,Autumn,Medium,High,4,Poor,Rural,Chole Bhature
67,Surat,Gujarat,24,Autumn,Medium,Low,8,Excellent,Rural,Tandoori Chicken Salad
76,Kolkata,West Bengal,42,Summer,Low,High,9,Excellent,Urban,Curd Rice
91,Varanasi,Uttar Pradesh,17,Summer,Low,High,4,Excellent,Rural,Lemon Rice
73,Surat,Gujarat,35,Summer,Medium,Low,8,Average,Urban,Sprout Salad
82,Chennai,Tamil Nadu,30,Autumn,Low,Medium,8,Poor,Rural,Chole Bhature
92,Bhopal,Madhya Pradesh,15,Winter,Low,Medium,9,Average,Rural,Aloo Gobi
91,Bangalore,Karnataka,33,Summer,Medium,Low,9,Poor,Rural,Vegetable Pulao
74,Delhi,Delhi,15,Autumn,Low,High,6,Poor,Rural,Chole Bhature
52,Bangalore,Karnataka,33,Winter,Low,Low,4,Average,Urban,Dal Makhani
54,Chandigarh,Chandigarh,16,Autumn,High,Medium,7,Excellent,Urban,Vegetable Pulao
56,Kolkata,West Bengal,26,Winter,High,High,8,Good,Urban,Dal Makhani
83,Pune,Maharashtra,29,Winter,High,Medium,5,Good,Urban,Mutton Rogan Josh
92,Ahmedabad,Gujarat,14,Autumn,Medium,Low,4,Average,Rural,Chole Bhature
70,Mumbai,Maharashtra,37,Summer,Medium,High,5,Excellent,Rural,Lemon Rice
66,Delhi,Delhi,41,Autumn,Low,Medium,5,Poor,Urban,Vegetable Pulao
78,Bangalore,Karnataka,26,Winter,High,High,5,Average,Urban,Dal Makhani
87,Lucknow,Uttar Pradesh,33,Summer,Low,Medium,9,Average,Rural,Chole Bhature
98,Guwahati,Assam,29,Winter,Medium,Medium,5,Excellent,Rural,Gajar ka Halwa
89,Surat,Gujarat,38,Winter,High,High,4,Excellent,Urban,Dal Makhani
53,Agra,Uttar Pradesh,28,Summer,Medium,Low,5,Poor,Urban,Curd Rice
84,Patna,Bihar,39,Autumn,Medium,Low,4,Excellent,Rural,Chole Bhature
84,Surat,Gujarat,29,Monsoon,Medium,High,6,Average,Urban,Samosa
50,Visakhapatnam,Andhra Pradesh,36,Summer,Low,High,8,Poor,Urban,Kulfi
69,Chennai,Tamil Nadu,26,Winter,Low,High,9,Good,Rural,Dal Makhani
64,Jaipur,Rajasthan,21,Summer,Medium,Medium,4,Excellent,Urban,Curd Rice
91,Lucknow,Uttar Pradesh,42,Winter,Medium,Low,9,Good,Rural,Oats Idli
82,Surat,Gujarat,35,Autumn,Medium,High,6,Average,Rural,Paneer Butter Masala
73,Mumbai,Maharashtra,36,Winter,High,Low,9,Excellent,Urban,Paneer Butter Masala
56,Srinagar,Jammu and Kashmir,38,Monsoon,Low,Low,5,Average,Rural,Paneer Butter Masala
54,Chennai,Tamil Nadu,34,Winter,Medium,Low,7,Poor,Urban,Gajar ka Halwa
71,Lucknow,Uttar Pradesh,29,Winter,Medium,High,7,Poor,Rural,Kadai Paneer
75,Hyderabad,Telangana,11,Summer,High,High,8,Average,Urban,Lemon Rice
79,Pune,Maharashtra,39,Monsoon,Medium,Low,8,Excellent,Rural,Aloo Gobi
60,Mumbai,Maharashtra,27,Monsoon,High,Medium,7,Excellent,Urban,Aloo Gobi
87,Pune,Maharashtra,37,Summer,High,High,7,Excellent,Urban,Sprout Salad
50,Nagpur,Maharashtra,21,Summer,Medium,Medium,9,Poor,Urban,Paneer Butter Masala
64,Nagpur,Maharashtra,16,Summer,Low,Medium,8,Average,Urban,Roti with Dal Tadka
58,Visakhapatnam,Andhra Pradesh,30,Autumn,Medium,High,4,Poor,Rural,Chole Bhature
74,Nagpur,Maharashtra,32,Summer,Medium,Low,9,Excellent,Urban,Aam Panna
75,Guwahati,Assam,20,Autumn,Medium,High,6,Excellent,Urban,Roti with Dal Tadka
60,Varanasi,Uttar Pradesh,37,Monsoon,Low,Medium,7,Average,Rural,Chole Bhature
65,Srinagar,Jammu and Kashmir,33,Summer,High,Low,8,Excellent,Urban,Quinoa Upma
86,Agra,Uttar Pradesh,38,Monsoon,Medium,High,8,Average,Urban,Moong Dal Khichdi
72,Bhopal,Madhya Pradesh,16,Winter,Low,High,6,Good,Urban,Dal Makhani
57,Bangalore,Karnataka,11,Autumn,Low,Medium,7,Excellent,Rural,Chole Bhature
69,Guwahati,Assam,29,Winter,Medium,Low,8,Poor,Urban,Chole Bhature
51,Indore,Madhya Pradesh,37,Autumn,Low,Low,7,Good,Rural,Chole Bhature
61,Surat,Gujarat,15,Autumn,Medium,Low,5,Good,Urban,Tandoori Chicken Salad
55,Nagpur,Maharashtra,40,Monsoon,High,High,8,Poor,Urban,Samosa
82,Jaipur,Rajasthan,18,Winter,High,Low,8,Excellent,Rural,Roti with Dal Tadka
61,Delhi,Delhi,21,Autumn,Medium,High,6,Poor,Rural,Roti with Dal Tadka
76,Agra,Uttar Pradesh,20,Autumn,Low,Medium,4,Poor,Urban,Paneer Butter Masala
52,Delhi,Delhi,41,Autumn,High,Medium,9,Average,Rural,Roti with Dal Tadka
81,Chandigarh,Chandigarh,14,Winter,High,Medium,6,Average,Rural,Paneer Butter Masala
64,Chennai,Tamil Nadu,24,Monsoon,High,High,9,Good,Rural,Dal Makhani
73,Chennai,Tamil Nadu,17,Winter,High,Medium,6,Average,Rural,Chole Bhature
70,Kolkata,West Bengal,36,Summer,Medium,Medium,9,Average,Rural,Lemon Rice
75,Varanasi,Uttar Pradesh,23,Monsoon,High,Low,9,Excellent,Urban,Sprout Salad
91,Patna,Bihar,14,Summer,Low,High,8,Excellent,Rural,Aam Panna
68,Bangalore,Karnataka,32,Autumn,Medium,High,7,Average,Urban,Aloo Gobi
74,Bhopal,Madhya Pradesh,19,Autumn,High,High,5,Average,Urban,Aloo Gobi
67,Ahmedabad,Gujarat,10,Winter,Medium,High,4,Good,Urban,Paneer Butter Masala
93,Hyderabad,Telangana,12,Winter,Low,Medium,9,Poor,Rural,Roti with Dal Tadka
92,Srinagar,Jammu and Kashmir,10,Monsoon,High,Medium,8,Average,Rural,Paneer Butter Masala
72,Kochi,Kerala,38,Monsoon,Low,High,6,Good,Rural,Paneer Butter Masala
78,Visakhapatnam,Andhra Pradesh,22,Summer,Low,Medium,7,Excellent,Rural,Chole Bhature
76,Jaipur,Rajasthan,23,Monsoon,High,Medium,9,Excellent,Rural,Vegetable Pulao
52,Hyderabad,Telangana,10,Winter,Medium,High,8,Excellent,Urban,Dal Makhani
72,Lucknow,Uttar Pradesh,14,Autumn,Medium,Medium,4,Average,Urban,Chole Bhature
60,Guwahati,Assam,30,Monsoon,Low,Low,9,Excellent,Urban,Chole Bhature
66,Patna,Bihar,33,Summer,Medium,Low,8,Poor,Urban,Tandoori Chicken Salad
67,Jaipur,Rajasthan,40,Winter,Medium,Medium,4,Excellent,Urban,Sarson ka Saag with Makki di Roti
66,Indore,Madhya Pradesh,24,Winter,High,Medium,8,Poor,Urban,Vegetable Pulao
52,Ludhiana,Punjab,39,Autumn,Low,High,9,Poor,Rural,Chole Bhature
93,Bangalore,Karnataka,33,Monsoon,Low,High,6,Poor,Rural,Paneer Butter Masala
67,Mumbai,Maharashtra,21,Winter,High,High,5,Average,Urban,Mutton Rogan Josh
72,Hyderabad,Telangana,29,Monsoon,High,High,6,Poor,Rural,Moong Dal Khichdi
91,Kolkata,West Bengal,34,Monsoon,High,Low,8,Average,Urban,Samosa
84,Hyderabad,Telangana,32,Autumn,Low,High,9,Poor,Rural,Dal Makhani
63,Patna,Bihar,41,Winter,Medium,High,5,Poor,Rural,Kadai Paneer
84,Lucknow,Uttar Pradesh,37,Autumn,Medium,High,9,Poor,Rural,Roti with Dal Tadka
83,Varanasi,Uttar Pradesh,41,Autumn,High,High,8,Average,Urban,Kadai Paneer
83,Nagpur,Maharashtra,24,Winter,Low,High,5,Average,Urban,Rajma Chawal
50,Bangalore,Karnataka,38,Monsoon,Low,High,8,Good,Rural,Kadai Paneer
56,Ahmedabad,Gujarat,21,Summer,Low,Medium,8,Good,Urban,Aloo Gobi
75,Lucknow,Uttar Pradesh,40,Monsoon,High,Low,9,Poor,Urban,Roti with Dal Tadka
56,Chennai,Tamil Nadu,15,Summer,Medium,Low,6,Poor,Urban,Aloo Gobi
83,Kolkata,West Bengal,25,Monsoon,Medium,Low,4,Excellent,Rural,Vegetable Pulao
58,Delhi,Delhi,40,Summer,High,Low,4,Poor,Urban,Roti with Dal Tadka
59,Jaipur,Rajasthan,18,Monsoon,High,High,4,Good,Urban,Corn on the Cob (Bhutta)
79,Surat,Gujarat,25,Summer,Low,Low,4,Poor,Urban,Sprout Salad
86,Bhopal,Madhya Pradesh,37,Monsoon,High,Low,7,Excellent,Rural,Corn on the Cob (Bhutta)
94,Nagpur,Maharashtra,35,Autumn,Low,Low,8,Average,Rural,Sprout Salad
78,Chennai,Tamil Nadu,32,Winter,Medium,Medium,9,Good,Urban,Chole Bhature
60,Srinagar,Jammu and Kashmir,16,Winter,Low,Low,7,Average,Urban,Aloo Gobi
61,Pune,Maharashtra,38,Winter,Low,High,7,Average,Rural,Vegetable Pulao
78,Chennai,Tamil Nadu,37,Summer,Low,Low,6,Excellent,Rural,Aloo Gobi
60,Chennai,Tamil Nadu,26,Winter,Low,Low,8,Average,Urban,Tandoori Chicken Salad
56,Chennai,Tamil Nadu,13,Autumn,High,Low,6,Excellent,Rural,Masala Dosa
62,Mumbai,Maharashtra,30,Monsoon,Medium,Low,6,Poor,Rural,Oats Idli
62,Ludhiana,Punjab,15,Autumn,Medium,Low,9,Poor,Rural,Quinoa Upma
82,Guwahati,Assam,25,Summer,High,High,8,Poor,Rural,Chole Bhature
70,Srinagar,Jammu and Kashmir,16,Winter,Low,High,7,Poor,Rural,Sarson ka Saag with Makki di Roti
65,Varanasi,Uttar Pradesh,26,Monsoon,Low,Low,6,Good,Urban,Samosa
50,Ludhiana,Punjab,38,Summer,High,Low,9,Average,Rural,Curd Rice
59,Guwahati,Assam,25,Winter,Low,High,4,Excellent,Urban,Gajar ka Halwa
91,Mumbai,Maharashtra,31,Summer,High,Low,8,Poor,Urban,Roti with Dal Tadka
54,Mumbai,Maharashtra,14,Autumn,Medium,Medium,9,Average,Rural,Paneer Butter Masala
62,Delhi,Delhi,11,Monsoon,Low,Low,9,Average,Urban,Samosa
97,Chennai,Tamil Nadu,14,Summer,High,Low,7,Excellent,Rural,Chole Bhature
55,Kolkata,West Bengal,31,Summer,High,High,6,Poor,Rural,Kadai Paneer
68,Kochi,Kerala,40,Autumn,High,High,4,Excellent,Urban,Paneer Butter Masala
91,Agra,Uttar Pradesh,10,Winter,Low,Low,4,Excellent,Rural,Sprout Salad
79,Jaipur,Rajasthan,28,Autumn,Medium,Medium,9,Poor,Rural,Aloo Gobi
78,Lucknow,Uttar Pradesh,18,Summer,Low,Low,8,Excellent,Urban,Aloo Gobi
75,Mumbai,Maharashtra,34,Autumn,Medium,Medium,8,Average,Urban,Paneer Butter Masala
78,Guwahati,Assam,38,Autumn,Low,Low,9,Good,Rural,Aloo Gobi
77,Hyderabad,Telangana,25,Summer,Medium,Low,4,Excellent,Urban,Aam Panna
52,Ludhiana,Punjab,30,Autumn,Medium,High,9,Excellent,Rural,Aloo Gobi
66,Bhopal,Madhya Pradesh,26,Autumn,Low,Low,7,Excellent,Rural,Chole Bhature
85,Visakhapatnam,Andhra Pradesh,36,Autumn,Medium,Low,8,Good,Rural,Oats Idli
93,Guwahati,Assam,21,Summer,Medium,High,7,Average,Rural,Moong Dal Khichdi
91,Indore,Madhya Pradesh,17,Autumn,Low,Medium,9,Average,Urban,Roti with Dal Tadka
64,Surat,Gujarat,21,Summer,High,Low,7,Excellent,Rural,Paneer Butter Masala
97,Delhi,Delhi,35,Winter,Medium,High,6,Average,Urban,Mutton Rogan Josh
75,Jaipur,Rajasthan,24,Monsoon,High,High,5,Excellent,Rural,Aloo Gobi
83,Nagpur,Maharashtra,42,Summer,High,Low,8,Good,Rural,Paneer Butter Masala
55,Lucknow,Uttar Pradesh,35,Monsoon,Medium,Medium,6,Average,Urban,Samosa
98,Hyderabad,Telangana,14,Monsoon,Low,Low,9,Poor,Rural,Corn on the Cob (Bhutta)
94,Lucknow,Uttar Pradesh,11,Autumn,Low,Medium,6,Good,Urban,Paneer Butter Masala
58,Indore,Madhya Pradesh,38,Summer,Low,Medium,5,Average,Rural,Chole Bhature
96,Varanasi,Uttar Pradesh,28,Monsoon,Low,Low,5,Good,Rural,Corn on the Cob (Bhutta)
64,Bangalore,Karnataka,41,Summer,Medium,Medium,7,Poor,Rural,Paneer Butter Masala
97,Kolkata,West Bengal,13,Winter,Medium,Low,5,Excellent,Rural,Mutton Rogan Josh
72,Ludhiana,Punjab,32,Winter,Medium,Low,4,Poor,Rural,Sarson ka Saag with Makki di Roti
79,Mumbai,Maharashtra,24,Autumn,Low,Low,7,Good,Urban,Sprout Salad
91,Surat,Gujarat,13,Autumn,Medium,Low,4,Poor,Urban,Quinoa Upma
93,Kochi,Kerala,42,Autumn,High,Low,7,Excellent,Urban,Aloo Gobi
80,Bhopal,Madhya Pradesh,40,Autumn,Low,High,6,Average,Urban,Moong Dal Khichdi
91,Hyderabad,Telangana,14,Summer,High,Low,9,Excellent,Rural,Paneer Butter Masala
95,Guwahati,Assam,23,Autumn,Medium,High,7,Average,Rural,Moong Dal Khichdi
92,Varanasi,Uttar Pradesh,38,Summer,Medium,Low,5,Poor,Rural,Aam Panna
68,Nagpur,Maharashtra,22,Autumn,High,High,4,Poor,Urban,Chole Bhature
64,Srinagar,Jammu and Kashmir,14,Autumn,Low,Medium,4,Poor,Urban,Paneer Butter Masala
50,Jaipur,Rajasthan,18,Monsoon,Low,Medium,7,Average,Urban,Aloo Gobi
82,Ahmedabad,Gujarat,25,Autumn,Low,High,6,Good,Urban,Rajma Chawal
64,Varanasi,Uttar Pradesh,24,Autumn,Medium,Low,8,Excellent,Urban,Quinoa Upma
96,Ludhiana,Punjab,38,Winter,High,Low,4,Excellent,Rural,Mutton Rogan Josh
74,Jaipur,Rajasthan,38,Autumn,Medium,High,5,Poor,Rural,Chole Bhature
68,Indore,Madhya Pradesh,40,Winter,Low,Low,7,Excellent,Rural,Gajar ka Halwa
54,Srinagar,Jammu and Kashmir,10,Autumn,High,Medium,5,Average,Urban,Chole Bhature
75,Chandigarh,Chandigarh,23,Autumn,High,High,8,Excellent,Urban,Chole Bhature
68,Lucknow,Uttar Pradesh,20,Winter,High,Medium,4,Excellent,Rural,Aloo Gobi
95,Kochi,Kerala,31,Autumn,High,Medium,5,Excellent,Urban,Roti with Dal Tadka
93,Nagpur,Maharashtra,42,Summer,Medium,Medium,7,Average,Rural,Curd Rice
52,Varanasi,Uttar Pradesh,35,Monsoon,High,High,9,Good,Rural,Kadai Paneer
100,Agra,Uttar Pradesh,31,Autumn,High,High,6,Good,Urban,Rajma Chawal
63,Mumbai,Maharashtra,32,Autumn,High,Medium,4,Good,Rural,Chole Bhature
64,Chennai,Tamil Nadu,28,Winter,High,High,4,Average,Rural,Moong Dal Khichdi
94,Srinagar,Jammu and Kashmir,42,Winter,Medium,Low,7,Average,Urban,Gajar ka Halwa
78,Agra,Uttar Pradesh,41,Monsoon,Low,High,4,Excellent,Urban,Paneer Butter Masala
100,Chandigarh,Chandigarh,10,Monsoon,Medium,High,7,Poor,Rural,Moong Dal Khichdi
98,Varanasi,Uttar Pradesh,15,Winter,High,Medium,6,Average,Rural,Gajar ka Halwa
69,Visakhapatnam,Andhra Pradesh,19,Monsoon,Low,High,6,Excellent,Urban,Roti with Dal Tadka
75,Lucknow,Uttar Pradesh,33,Summer,Low,High,6,Excellent,Urban,Aam Panna
97,Delhi,Delhi,29,Summer,Low,High,8,Average,Rural,Vegetable Pulao
97,Agra,Uttar Pradesh,13,Monsoon,Low,Medium,7,Average,Urban,Chole Bhature
79,Kochi,Kerala,37,Monsoon,Medium,Medium,4,Good,Rural,Roti with Dal Tadka
83,Visakhapatnam,Andhra Pradesh,33,Summer,Medium,Low,6,Poor,Urban,Aam Panna
78,Kolkata,West Bengal,41,Autumn,High,Low,5,Average,Urban,Paneer Butter Masala
77,Chandigarh,Chandigarh,13,Monsoon,High,Medium,8,Excellent,Rural,Paneer Butter Masala
72,Visakhapatnam,Andhra Pradesh,33,Monsoon,Medium,Medium,8,Poor,Rural,Samosa
100,Visakhapatnam,Andhra Pradesh,38,Monsoon,Medium,High,7,Average,Rural,Dal Makhani
64,Guwahati,Assam,31,Autumn,High,Medium,6,Good,Urban,Chole Bhature
98,Pune,Maharashtra,19,Monsoon,High,Medium,5,Average,Urban,Paneer Butter Masala
82,Lucknow,Uttar Pradesh,36,Monsoon,High,Medium,4,Poor,Urban,Corn on the Cob (Bhutta)
86,Mumbai,Maharashtra,37,Autumn,High,High,5,Good,Urban,Aloo Gobi
63,Delhi,Delhi,17,Summer,High,Medium,4,Average,Rural,Kulfi
95,Ludhiana,Punjab,35,Autumn,High,Medium,7,Excellent,Urban,Vegetable Pulao
88,Ludhiana,Punjab,10,Winter,Low,Medium,8,Excellent,Urban,Dal Makhani
60,Ludhiana,Punjab,12,Autumn,High,Low,6,Excellent,Rural,Aloo Gobi
66,Bhopal,Madhya Pradesh,37,Summer,High,Low,6,Good,Rural,Roti with Dal Tadka
94,Patna,Bihar,15,Winter,Low,Low,8,Excellent,Rural,Gajar ka Halwa
65,Agra,Uttar Pradesh,18,Autumn,Medium,Medium,9,Good,Urban,Vegetable Pulao
84,Visakhapatnam,Andhra Pradesh,10,Summer,High,High,4,Excellent,Urban,Sprout Salad
64,Indore,Madhya Pradesh,32,Autumn,Low,High,4,Good,Rural,Kadai Paneer
72,Chandigarh,Chandigarh,14,Autumn,Medium,Medium,9,Average,Rural,Aloo Gobi
72,Varanasi,Uttar Pradesh,37,Monsoon,High,Medium,6,Good,Rural,Pakoras with Chai
78,Pune,Maharashtra,29,Winter,Low,Medium,7,Average,Rural,Sarson ka Saag with Makki di Roti
94,Indore,Madhya Pradesh,29,Monsoon,Medium,Medium,9,Poor,Rural,Paneer Butter Masala
71,Varanasi,Uttar Pradesh,35,Autumn,Low,Medium,6,Average,Rural,Vegetable Pulao
77,Hyderabad,Telangana,26,Monsoon,Low,Medium,4,Excellent,Urban,Paneer Butter Masala
68,Indore,Madhya Pradesh,29,Monsoon,Medium,Low,8,Good,Urban,Samosa
83,Kochi,Kerala,24,Autumn,High,High,8,Excellent,Rural,Roti with Dal Tadka
81,Delhi,Delhi,18,Winter,High,High,5,Average,Rural,Dal Makhani
84,Ludhiana,Punjab,33,Summer,Low,High,9,Average,Rural,Roti with Dal Tadka
75,Bangalore,Karnataka,20,Monsoon,Medium,Medium,4,Good,Rural,Samosa
95,Nagpur,Maharashtra,35,Winter,Low,High,4,Poor,Urban,Kadai Paneer
80,Mumbai,Maharashtra,28,Summer,High,Low,9,Excellent,Rural,Tandoori Chicken Salad
85,Agra,Uttar Pradesh,37,Winter,High,Medium,4,Poor,Urban,Aloo Gobi
69,Pune,Maharashtra,37,Summer,Low,Medium,9,Average,Urban,Aam Panna
67,Mumbai,Maharashtra,19,Monsoon,High,Low,7,Average,Rural,Corn on the Cob (Bhutta)
89,Delhi,Delhi,34,Monsoon,High,Low,7,Poor,Urban,Corn on the Cob (Bhutta)
96,Nagpur,Maharashtra,39,Autumn,Medium,Medium,5,Average,Rural,Chole Bhature
72,Lucknow,Uttar Pradesh,32,Autumn,Medium,High,4,Average,Urban,Aloo Gobi
50,Guwahati,Assam,18,Autumn,High,Medium,5,Poor,Urban,Roti with Dal Tadka
92,Delhi,Delhi,22,Monsoon,Medium,High,5,Excellent,Urban,Samosa
92,Nagpur,Maharashtra,40,Winter,Low,Low,6,Poor,Rural,Paneer Butter Masala
88,Indore,Madhya Pradesh,40,Winter,High,Medium,6,Good,Rural,Aloo Gobi
61,Pune,Maharashtra,42,Autumn,High,Low,5,Poor,Rural,Vegetable Pulao
91,Surat,Gujarat,29,Summer,Medium,Medium,7,Average,Urban,Aam Panna
66,Bangalore,Karnataka,24,Autumn,Medium,Medium,5,Excellent,Rural,Aloo Gobi
58,Surat,Gujarat,14,Autumn,Medium,Low,4,Average,Urban,Quinoa Upma
72,Hyderabad,Telangana,41,Summer,High,Low,9,Good,Rural,Aam Panna
77,Visakhapatnam,Andhra Pradesh,38,Summer,High,Medium,4,Average,Urban,Aloo Gobi
60,Indore,Madhya Pradesh,13,Monsoon,High,High,8,Poor,Urban,Corn on the Cob (Bhutta)
51,Ludhiana,Punjab,41,Summer,Low,High,9,Good,Rural,Dal Makhani
83,Kochi,Kerala,35,Autumn,Medium,Low,7,Good,Urban,Chole Bhature
86,Bhopal,Madhya Pradesh,12,Monsoon,Low,Medium,4,Excellent,Rural,Vegetable Pulao
73,Pune,Maharashtra,19,Monsoon,Medium,High,5,Poor,Urban,Roti with Dal Tadka
61,Mumbai,Maharashtra,11,Autumn,Medium,Low,7,Average,Urban,Quinoa Upma
80,Chennai,Tamil Nadu,11,Summer,Low,Medium,5,Good,Urban,Aam Panna
67,Bangalore,Karnataka,21,Summer,High,High,9,Poor,Urban,Aloo Gobi
89,Pune,Maharashtra,35,Summer,Medium,Medium,5,Excellent,Urban,Lemon Rice
88,Delhi,Delhi,29,Autumn,High,High,5,Good,Rural,Rajma Chawal
92,Bangalore,Karnataka,31,Winter,Medium,Medium,4,Poor,Rural,Aloo Gobi
93,Varanasi,Uttar Pradesh,31,Autumn,Low,High,6,Good,Rural,Paneer Butter Masala
98,Ludhiana,Punjab,18,Autumn,Medium,Low,5,Excellent,Urban,Aloo Gobi
70,Guwahati,Assam,42,Winter,Low,High,4,Average,Rural,Gajar ka Halwa
94,Nagpur,Maharashtra,15,Autumn,High,High,6,Excellent,Urban,Kadai Paneer
50,Mumbai,Maharashtra,25,Winter,High,Medium,6,Excellent,Rural,Gajar ka Halwa
65,Varanasi,Uttar Pradesh,34,Summer,Medium,Low,6,Excellent,Rural,Curd Rice
74,Lucknow,Uttar Pradesh,23,Monsoon,High,Medium,7,Average,Rural,Chole Bhature
59,Hyderabad,Telangana,18,Autumn,High,Medium,8,Excellent,Rural,Aloo Gobi
90,Delhi,Delhi,24,Winter,High,Low,7,Average,Rural,Chole Bhature
56,Indore,Madhya Pradesh,41,Autumn,Low,Medium,4,Average,Rural,Vegetable Pulao
89,Delhi,Delhi,20,Autumn,High,Medium,8,Poor,Urban,Vegetable Pulao
68,Kolkata,West Bengal,31,Monsoon,Low,High,5,Average,Urban,Roti with Dal Tadka
74,Ahmedabad,Gujarat,32,Autumn,High,High,6,Poor,Urban,Kadai Paneer
56,Jaipur,Rajasthan,29,Monsoon,High,Medium,4,Good,Urban,Aloo Gobi
87,Guwahati,Assam,16,Monsoon,High,High,8,Poor,Urban,Moong Dal Khichdi
74,Srinagar,Jammu and Kashmir,15,Winter,High,High,4,Average,Rural,Chole Bhature
90,Jaipur,Rajasthan,32,Monsoon,Low,Low,4,Poor,Urban,Oats Idli
58,Mumbai,Maharashtra,17,Monsoon,Low,Medium,7,Good,Rural,Pakoras with Chai
96,Delhi,Delhi,20,Monsoon,Medium,High,5,Excellent,Rural,Moong Dal Khichdi
70,Nagpur,Maharashtra,34,Summer,Low,Medium,4,Poor,Rural,Lemon Rice
86,Mumbai,Maharashtra,29,Autumn,Medium,Medium,9,Poor,Rural,Vegetable Pulao
63,Jaipur,Rajasthan,17,Monsoon,High,Medium,6,Average,Rural,Roti with Dal Tadka
93,Kolkata,West Bengal,20,Monsoon,Medium,Medium,5,Average,Rural,Roti with Dal Tadka
81,Kochi,Kerala,15,Monsoon,Low,High,4,Average,Rural,Moong Dal Khichdi
89,Indore,Madhya Pradesh,23,Monsoon,Low,High,5,Good,Rural,Vegetable Pulao
66,Surat,Gujarat,29,Monsoon,Low,High,8,Good,Urban,Chole Bhature
53,Bangalore,Karnataka,39,Summer,Low,High,6,Poor,Rural,Dal Makhani
61,Pune,Maharashtra,27,Summer,High,Medium,5,Excellent,Rural,Roti with Dal Tadka
95,Chandigarh,Chandigarh,40,Monsoon,Medium,High,7,Average,Urban,Chole Bhature
69,Surat,Gujarat,33,Winter,Medium,Medium,5,Excellent,Rural,Sarson ka Saag with Makki di Roti
53,Kolkata,West Bengal,27,Summer,Low,Low,8,Excellent,Rural,Tandoori Chicken Salad
82,Hyderabad,Telangana,13,Winter,High,High,4,Poor,Urban,Sarson ka Saag with Makki di Roti
83,Lucknow,Uttar Pradesh,23,Autumn,High,Medium,4,Good,Urban,Aloo Gobi
64,Ludhiana,Punjab,14,Autumn,Medium,Medium,6,Average,Rural,Aloo Gobi
85,Surat,Gujarat,34,Winter,Low,Medium,9,Good,Urban,Vegetable Pulao
76,Delhi,Delhi,41,Winter,High,Low,9,Average,Rural,Roti with Dal Tadka
89,Jaipur,Rajasthan,17,Winter,Medium,High,9,Poor,Rural,Chole Bhature
74,Kochi,Kerala,25,Summer,Medium,Low,8,Poor,Urban,Kulfi
71,Srinagar,Jammu and Kashmir,29,Autumn,Low,Medium,6,Excellent,Urban,Paneer Butter Masala
65,Ludhiana,Punjab,16,Monsoon,High,Low,4,Excellent,Rural,Moong Dal Khichdi
68,Jaipur,Rajasthan,13,Autumn,Medium,Low,8,Average,Urban,Sprout Salad
68,Chandigarh,Chandigarh,23,Summer,Medium,High,9,Poor,Rural,Aloo Gobi
82,Pune,Maharashtra,30,Monsoon,High,High,8,Excellent,Urban,Samosa
91,Lucknow,Uttar Pradesh,25,Winter,High,Low,5,Poor,Rural,Oats Idli
